Betty Smith, A Tree Grows in Brooklyn, 9780061120077, "The beloved American classic about a young girls coming-of-age at the turn of the century, Betty Smiths A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years.", "['Bildungsroman', 'chick lit']"
Suze Rotolo, A Freewheelin Time, 9780767926881, "Suze Rotolos memoir of her early 1960s life with Bob Dylan and the extraordinary period of artistic and political ferment in Greenwich Village.", "['political', 'memoir']"
Henry James, Washington Square, 9780140432268, "Set in New York, this closely constructed novel belongs to James early period. Like Portrait of a Lady it studies the plight of an innocent heiress who is deceived by the looks and charm of a worthless suitor. At the same time she is striving to be loyal to a cold and forbidding father.", "['classic', 'historic']"
Toni Morrison, Jazz, 9781400076215, "Harlem in the 1920s, the capital of Black America and jazz itself, is the setting for Toni Morrisons dazzling novel.", "['jazz', 'african-american']"
